initialValue,createPatternMatcher
checkExit,throwExitException
listStatusRecursively,listFilesRecursively
testAsyncLoggingInitialization,initHiveLoggingConfigurations
getColumns,getColumnsMetaData
removeBackslashes,parseTimestamp
testIntBinary,encodeValue
process_stage1,parseCommandLineOptions
testFloatString,getValueBytes
getFloatVar,getFloatVarWithoutParams
checkTypeSafety,checkHiveStrictChecksSafety
getStartTime,getStartTimesOrDefault
getRowIdFactory,getRowIdFactory
incDeltaValue,isDeltaIncreasing
hasColumnEncoding,checkColumnMappingValidity
populateParentPaths,printParents
setZonedDateTime,setZonedDateTime
testManyRangesGeneratorOutput,generateRanges
multiplyScaleDownTenDestructive,scaleDownArray8RoundUp
preserveXAttr,setXAttr
getCode,getCode
setupCmdHistory,initializeHiveHistoryFile
addIndexCol,putEncode
serializeTo128,putMagneticsValues
executeCmd,startReadingErrorStream
negate,updateAndNegate
findRegisteredDriver,findSupportedDriver
testUseCurrentDB3,handleCMDInput
getSQLStdAuthDefaultWhiteListPattern,createDefaultWhiteListFromSafeConfigParamsAndRegexList
testSubtractDestructive,subtractDestructive
setState,compareAndSetLog
deserializeWithTooFewHiveColumns,initializeProperties
setDayOfMonth,setDayOfMonth
getpCompare,getPCompare
parseCharacterTemporal,parseTemporalValue
equal,accept
clear,copyFromInternedToThis
testExtractOpNonJsonChildrenShouldThrow,extractOpWithErrorCheck
help,handleCommand
testPrefixWithEscape,getColumnMapping
update96,update96
defaultBeelineConnect,dispatchUrl
testStripCodeWithEscapedPound,stripCodeMapping
testShutdownHook,setDatabaseConnectionsAndRunShutdownHook
testRangeDisjunction,generateRanges
mergeTokenIntoJobConf,mergeAccumuloJobConfCredentials
isolation,setTransactionIsolation
getTableVisibilityLabel,getColumnVisibility
getCount,getCount
saveDir,getBeelineFileDir
getOpts,printOptions
getFirstCmd,subStringTrim
isPurge,isExternalTableOrExternalTablePurge
testMissingPassword,getConnectorInstance
toInstant,convertToInstant
isNumericTemporalToken,containsKey
getStatus,getStatus
areOptimizationsEnabled,getBlobstoreOptimizationsEnabled
setHost,setHost
setLastConnectedUrl,setLastConnectedUrl
findSQLState,getErrorMsgSQLState
checkNoPartitionFilter,checkHiveStrictPartitionChecks
verifyHighPrecisionSubtractSingle,makeNumericString
setMaxWidth,setMaxWidth
map,createUnmodifiableMap
testConfigureAccumuloInputFormatWithAuthorizations,configureConfZkInstanceConAccumuloParamsColumnMapperIteratorsRanges
processLocalCmd,escapeCRLF
stringFor,getTimeUnitString
testToString,printHiveIntervalYearMonthToString
createStatement,createStatement
setValues,setPauseTimes
testBooleanString,encodeBooleanValue
multiplyArrays4And4To8,multiplyLongArrays
updateCount,serializeToIntBuffer
setTimeInMillis,createLocalDateTimeWithNanos
testConvertToUTC,parseTimestampTZ
getAuthorizationsFromValue,createAuthorizations
copy,copyMultipleFiles
rollback,rollbackTransaction
applySystemProperties,loadSystemProperties
testCopyWithDistCpAs,distCp
testRowRangeIntersection,getRangesWithoutExclusions
checkForInvalidIsoWeek,setWeekBasedYearAndWeekNumber
setCount,setCount
testRandomMultiplyDivideInverse,generateRandomLongNumbers
getJoinRSOp,getOutputOp
getTrimmedVar,getTrimmedValue
testHiveLogging,configureCustomLogFilePath
setResponseHeader,setResponseHeaders
testDegreesAndMillis,getConnectorScanner`).
shutdown,setShouldRunFalse
doTestSerializationUtilsRead,serializationUtilsRead
updateFixedPoint,updateScale
getFromMapping,checkColumnAndReturnEncoding
getSQLState,getSQLState
getBatch,getBatch
testCompareTo,checkComparisonOrders
enLargeBuffer,javaMethodWithoutParentheses
getVarWithoutType,getVarAltNameOrDefaultExpr
restoreOutputStream,setOutFlushSetErrFlush
doFilter,filter

update,updateMagVariables
processOption,processPasswordOption
getAccumuloToken,findAccumuloServiceToken
setShowElapsedTime,displayElapsedTime
getConfInternal,getBufferedRows
calculateBytesHashCode,calculateMurmurHash
byteDesc,formatFileSize
getScriptOutputFile,getScriptOutputFile
setOutputFormatZooKeeperInstance,updateZooKeeperInstance
isBlobStorageAsScratchDir,getBooleanBloobstoreOptimizationsEnabled
getIteratorPushdown,getIteratorPushdownBoolean
render,reprintProgressStatus()
getColType,getEncodedValue
checkHiveConf,assertHiveConfValue
testDivideDestructiveSignedInt128Again,divideDestructive
addBeelineShutdownHook,addShutdownHook
testPiArcsine,calculatePiDigitsWithoutArgs
getDayOfWeek,getDayOfWeekValue
testUnsignedInt128Count,setV3
green,appendColor
testAddDependencyNonRoot,addDependency
isAscii,isMostSignificantBitSet
debug,logDebug
setupBufferedOutput,setStandardOutputStreams
beforeTests,printToFile
testAddDependencyRoot,addDependency
runQuery,printResultSetMetadata
getURI,getURIFromPath
makeDefaultListBucketingDirName,buildDefaultDirPath
getTimestampFromValues,createTimestamp
testMapSerialization,initializeAccumuloHiveRowDeserializePropertiesWithDefaultSeparatorsLazyAccumuloRowAssertions
setV,setVectorValues
setDelimiterForDSV,setDelimiterForDSV
checkParseTimestampIso,parseTimestamp
setModifiableWhiteListRegex,compileRegexPattern
getAuthType,getAuthType
stop,stopMonitoringThread
checkBucketing,checkBucketingStrict()
getManifest,getManifestURL
quoteComments,parseStringToCSV
testSetPattern,NoMethodFoundInJavaKernal
putAll,copyFromInternedToThis
testUnitFor,unitForMapping
connectUsingArgs,processCliOptionsWithoutReturns
data,GenerateTestData
parseTextToken,addToken
isBeelineSiteUrlsAsked,getBeelineSiteUrlsAsked
fetchStarted,setFetchStartedTrue
testBeelineOpts,initArgs
listStatusIterator,filteringRemoteIterator
getTimeout,getTimeout
all,setIndex
getSignum,GetScale
getJobCredentialProviderPassword,getPassword
loadProperties,processProperties
setConnectorInfoForInputAndOutput,getAccumuloToken
getUrlToUse,validateUrlProtocol
testMakeRelative,makeRelative
storeTokenInJobConf,setHiveClientTokenStoredToken
testMultiplyDestructiveSignedInt128,multiplyDestructive
getDescription,printValidatorDescription
validateRequest,performAuthentication
testParseWithKerberosNoSSL,getParsedUrlFromConfigFile
getConstVal,getConstVal
testMixedSerializationMap,initMap
getNameWithOpIdStats,generateOutputStringBuilder
blue,appendBlueWithString
powAsDouble,isnegativezeroorpositive.
rename,renameFile
getConstant,decodeBase64String
uncheckedGetField,initLazyAccumuloField
stringToTimestamp,getTimestampFromText
uriToString,appendUrisToString
setPort,setPort
testHiveAccumuloRecord,addInputPath
getTableNames,getTableNames
createIndexDefinition,setIndexColumns
initArgsFromCliVars,processCLIOptions
testCompare,compareToHiveIntervalYearMonth
testGetOnlyName,addInputPath
testSasl,setSaslEnabled
extractStagesAndPlans,extractStagesAndPlans
extractHiInt,getIntFromValue
getConnectionProperties,loadConnectionProperties
printUsage,printHelp
setOutputFormatConnectorInfo,SetZooKeeperInstance
testThatCliDriverDoesNotStripComments,replaceSystemOutErrBackup
setIsolation,setIsolation
getShutdownHook,getShutdownHook
testString,encodeValue
createLogRunnable,createRunnable
setAutoCommit,setAutoCommit
generateTemplate,createHiveConfigurationDocument
getColumnObjectInspectors,getColumnObjectInspectors
getAllProperties,getProperties
getVerbose,getVerbose
processCmd,processCmd
inlineJoinOp,mapJoinOperatorJoinInformationUpdate
testConfigureAccumuloInputFormat,configureAccumuloInputFormat
testInvalidRowIdOffset,AccumuloRowSerializer
getCmdList,addCmdPart
testAppendRestriction,addConfigToHiveConfRestrictedList
beginMetrics,createMetricsScope
getPathOrParentThatExists,getPathOrParentThatExists
setupSpnegoFilter,addKerberosAuthenticationFilterParameters
getIsolation,getIsolation
testParseZookeeper,getParsedUrlFromConfigFile
wrap,wrapText
getObjectInspector,getCachedObjectInspector
setExcludeCiphersuites,setExcludeCiphersuites
checkException,handleSQLException
createRowId,createLazyObject
getNextCharacterSubstring,extractTokenSubstring
testSerializationUtilsWriteSpecial,serializeBigDecimals
pad,padColorBuffer
isPathWithinSubtree,comparePaths
compareTo,compareZonedDateTimeToInstant
setInitFiles,setInitFiles
processSelectDatabase,checkDatabaseAvailability
getServerName,initHttpHeaderMap
testCommandSplits,splitSemiColon
getAuthorizationProvider,None
parseColumnNames,getParameters
testEmptyIteratorPushdownValue,configureInputJobProperties
testGetMappingFromHiveColumn,getColumnMappingForHiveColumn
setDelta,setValue
getTrimmedStrings,getTrimmedAndSplitValues
interrupt,interruptAllCallbacks
getVersion,getVersionInfo
stripHiddenConfigurations,stripConfigurations
getCompareOpClass,checkAndReturnCompareOp
getNumGcWarnThresholdExceeded,getNumGcWarnThresholdExceeded
getMetrics,addJvmMetricsRecordBuilder
isPathWithinSubtree_samePrefix,isPathWithinSubtree
getRevision,checkVersionValidity
testSqlFromCmdWithEmbeddedQuotes,verifyCMD
getColumnMappingValue,getTablePropertiesProperty
getUser,getVersionUser
verifyAndSet,validateModificationPermission
getConnect,connectWithDatabase
getErrorCode,getErrorCode
testHistory,setHistoryOutput()
configureJobConf,loadDependentJars
testConfigureMockAccumuloInputFormat,configureAccumuloTableInputFormat
processAndOpNode,intersectRanges
randHiveBigDecimalPair,randHiveBigDecimalPair
getV1,getV1Value
testHighPrecisionDecimal128Divide,invokeVerifyHighPrecisionDivideSingle
testScriptFile,initArgs
testNumHistories,setupHistory
addZKServiceDiscoveryHosts,setZooKeeperProperties
testColumnMappingCreatesAccumuloColumnMapping,getColumnMappingFromClassInfo
getTables,retrieveTableList
getUtf8Value,createTextFromWritableConstantValue
setAutosave,setAutosave
testRangeConjunction,generateRanges
millisToSeconds,getSecondsFromMillis
testEncodingDecoding,setQueryString
writeArrayToByteStream,createScriptFile
testParseNoAuthentication,getParsedUrlFromConfigFile
findNext,splitBySeparator
go,setConnectionIndex
getColumn,getRowDataAtIndex
getMergedPropertiesString,updateProperties
tokenizeCmd,splitWhiteSpace
extractHiveVariables,addHivePropertiesList
bitLength,findBitOffset
testRelativePathToAbsolutePath,makeAbsolutePath
testBinaryTypes,prepareMockData
testExtractVertexTezWithOneEdge,extractVertex
isReport,generateReport
internUriStringsInPathArray,internUriStringsInPath
getTuples,createUnmodifiableList
getLlapDaemonConfVars,getLlapDaemonVarsSet
hasRowIdMapping,checkRowIdMappingAvailability
writeResponse,redactSensitiveInformation
write,validateInput
squareDestructive,performMultiplication
testParseAuthorizationsFromConf,getAuthorizationsFromConf
inRange,checkInRange
testMissingColumnMappingFails,preCreateTable
setDefaultAccumuloTableName,setDefaultTableName
greaterThanOrEqual,accept
setTemplateFile,setTemplateFile
getOperatorNoStats,getOperatorNoStats
moreHiveColumnsThanAccumuloColumns,initializeAccumuloSerDeProperties
testGetHookBeeLineWithoutShowDbInPrompt,displayExampleData
findYarnBinary,getHadoopHomeFilePath
getNanos,getNanoOfInstant
isIso8601Delimiter,isValidIso8601Delimiter
getSleepTime,printData
testMockInstance,configureAccumuloOutputFormat
divideDestructive,updateMagnitudeDivisionProperties
checkFormatDate,formatDateToStringFailedMessage
createScanner,initHandler
checkConfVar,checkDefaultValue
verifyIsPathWithInSubTree,checkPathWithinSubtree
runCmdAsync,runAsyncCommand
parseCharacterTemporalToken,addElement
